order_reference,product_name,quantity,unit_price,line_total
ORD_0769,Dried Fruit,9.0,20.0,180.0
ORD_0988,Vase,10.0,74.99,749.9
ORD_0178,Microphone,4.0,779.69,2650.95
ORD_0557,Plant Pot,6.0,118.04,708.24
ORD_1013,Tennis Racket,2.0,254.89,509.78
ORD_0854,Instant Noodles,8.0,29.39,235.12
ORD_0123,Jump Rope,7.0,112.2,785.4
ORD_0862,Cushion,2.0,6.27,12.54
ORD_1133,Hoodie,3.0,158.66,475.98
ORD_0369,Picture Frame,10.0,88.73,887.3
ORD_0579,Doormat,,119.9,
ORD_0653,Rug,6.0,81.5,489.0
ORD_1183,Jacket,1.0,15.78,15.78
ORD_0646,Lamp,,129.35,
ORD_0796,Face Mask,5.0,52.96,264.8
ORD_1026,Yoga Mat,10.0,15.35,153.5
ORD_1007,Jump Rope,1.0,112.2,112.2
ORD_1052,Yoga Mat,,15.35,
ORD_1105,Sneakers,3.0,,
ORD_0190,Gym Bag,10.0,133.33,1333.3
ORD_0838,T-Shirt,4.0,20.0,80.0
ORD_0633,Perfume,5.0,9.51,47.55
ORD_0628,Basketball,3.0,20.0,60.0
ORD_0181,Cutting Board,7.0,37.79,264.53
ORD_0861,Storage Box,2.0,27.43,54.86
ORD_0419,Granola,2.0,3.28,6.56
ORD_0841,Microphone,7.0,,
ORD_0973,Biscuits,7.0,29.25,204.75
ORD_0355,Basketball,5.0,20.0,100.0
ORD_0710,Protein Bar,10.0,6.97,104.55
ORD_0844,Yoga Mat,,15.35,
ORD_0500,Sunscreen,,40.27,
ORD_0649,Rice,4.0,16.12,64.48
ORD_0606,Eye Cream,4.0,11.08,44.32
ORD_0310,Coat,4.0,130.08,520.32
ORD_1097,Monitor,7.0,548.49,3839.43
ORD_0318,Razor,8.0,62.25,498.0
ORD_0684,Cycling Gloves,5.0,204.17,1020.85
ORD_0870,Blazer,5.0,88.9,444.5
ORD_0664,Pasta,10.0,13.78,137.8
ORD_0045,Honey,10.0,,
ORD_1137,Hoodie,,158.66,
ORD_0516,Picture Frame,4.0,88.73,354.92
ORD_0442,Sneakers,2.0,113.26,226.52
ORD_0224,Toothbrush,7.0,77.28,540.96
ORD_0279,Tennis Racket,10.0,254.89,2548.9
ORD_0564,Candle,9.0,127.47,1147.23
ORD_0859,Plant Pot,8.0,118.04,944.32
ORD_1120,Soap Dispenser,6.0,71.41,492.73
ORD_1137,Gloves,4.0,14.13,56.52
ORD_0487,Foundation,8.0,41.65,333.2
ORD_0745,Blazer,6.0,88.9,613.41
ORD_0952,Shorts,1.0,,
ORD_0483,Water Bottle,5.0,21.73,108.65
ORD_0889,Microphone,,779.69,
ORD_1105,Leggings,2.0,21.18,42.36
ORD_0699,Crackers,2.0,24.01,48.02
ORD_0773,Polo Shirt,6.0,138.95,833.7
ORD_0113,Sweater,1.0,132.17,132.17
ORD_0002,Crackers,1.0,24.01,24.01
ORD_0642,Graphics Card,3.0,289.49,868.47
ORD_0220,Coat Hanger,6.0,87.64,525.84
ORD_0855,Perfume,7.0,9.51,66.57
ORD_0306,Body Lotion,3.0,18.63,55.89
ORD_0889,Graphics Card,1.0,289.49,289.49
ORD_0342,Rice,,16.12,
ORD_0664,Tomato Sauce,3.0,11.48,34.44
ORD_1151,Towel,6.0,142.76,856.56
ORD_1153,Smartwatch,6.0,576.28,3457.68
ORD_0249,Jump Rope,8.0,112.2,897.6
ORD_0645,Clock,6.0,137.5,825.0
ORD_0385,Toner,,20.0,
ORD_1093,Mouse,10.0,923.37,9233.7
ORD_1154,Coat Hanger,,,
ORD_1077,Dried Fruit,7.0,,
ORD_0556,Earbuds,7.0,1420.23,9941.61
ORD_1181,Dried Fruit,4.0,20.0,80.0
ORD_0735,Soap Dispenser,7.0,71.41,499.87
ORD_0480,Tea,10.0,3.37,33.7
ORD_0734,Rug,8.0,81.5,652.0
ORD_0730,Rice,3.0,16.12,48.36
ORD_0247,Running Shoes,,19.47,
ORD_0836,Monitor,4.0,548.49,2193.96
ORD_0203,Socks,5.0,68.84,344.2
ORD_0709,Shower Gel,6.0,31.86,191.16
ORD_0091,Running Shoes,1.0,19.47,19.47
ORD_0123,Tennis Racket,,254.89,
ORD_0401,Shampoo,8.0,48.94,587.28
ORD_0767,Eye Cream,2.0,11.08,22.16
ORD_0294,Soap Dispenser,5.0,71.41,357.05
ORD_0686,Swimwear,7.0,130.23,911.61
ORD_0280,Jacket,3.0,15.78,47.34
ORD_0220,Rug,3.0,81.5,366.75
ORD_0319,Hoodie,8.0,158.66,1269.28
ORD_0350,Socks,8.0,,
ORD_0670,Jump Rope,3.0,112.2,336.6
ORD_0581,Jeans,3.0,20.0,60.0
ORD_0884,Plant Pot,2.0,118.04,354.12
ORD_1062,Nuts,9.0,29.61,266.49
ORD_0199,SSD Drive,5.0,819.93,4714.6
ORD_0258,Crackers,5.0,24.01,120.05
ORD_0185,Leggings,4.0,21.18,84.72
ORD_0198,Knee Pads,7.0,,
ORD_1176,SSD Drive,10.0,819.93,8199.3
ORD_0982,Polo Shirt,3.0,138.95,416.85
ORD_0196,Storage Box,,27.43,
ORD_0752,Mug,10.0,92.79,927.9
ORD_0531,Towel,2.0,142.76,285.52
ORD_0144,Fitness Tracker,,228.04,
ORD_0304,Jeans,,20.0,
ORD_0926,Tea,,3.37,
ORD_0558,Speaker,3.0,,
ORD_0609,Knee Pads,4.0,37.22,148.88
ORD_1148,Mirror,3.0,34.64,103.92
ORD_0083,Lip Balm,9.0,41.42,372.78
ORD_0199,Earbuds,,1420.23,
ORD_0187,Running Shoes,5.0,19.47,97.35
ORD_0464,Sweater,7.0,132.17,925.19
ORD_0698,Smartphone,5.0,945.45,4727.25
ORD_0660,Jeans,9.0,20.0,180.0
ORD_0764,Earbuds,3.0,1420.23,4260.69
ORD_0941,Earbuds,4.0,1420.23,5680.92
ORD_0955,Webcam,6.0,1047.62,6285.72
ORD_0879,Sports Watch,5.0,35.57,177.85
ORD_0435,Belt,5.0,53.41,267.05
ORD_0128,Earbuds,10.0,1420.23,14202.3
ORD_0789,Plant Pot,9.0,118.04,1062.36
ORD_0403,USB Hub,8.0,107.53,860.24
ORD_0147,Lamp,7.0,129.35,905.45
ORD_0522,Belt,8.0,53.41,491.37
ORD_0769,Plant Pot,1.0,118.04,118.04
ORD_1040,Honey,,3.42,
ORD_1172,Badminton Set,2.0,178.08,356.16
ORD_0866,Headphones,2.0,750.23,1275.39
ORD_0129,Dumbbell,1.0,180.1,180.1
ORD_0864,Kitchen Timer,3.0,72.94,218.82
ORD_1200,Yoga Mat,4.0,,
ORD_0083,Nail Polish,1.0,43.42,49.93
ORD_0489,Dried Fruit,3.0,,
ORD_1192,Rice,5.0,16.12,120.9
ORD_0344,Jeans,10.0,20.0,200.0
ORD_0987,Biscuits,7.0,29.25,204.75
ORD_0929,Towel,3.0,,
ORD_0507,Plant Pot,6.0,118.04,708.24
ORD_0876,Toothbrush,8.0,77.28,618.24
ORD_0443,Swimwear,1.0,130.23,130.23
ORD_0551,Swimwear,8.0,130.23,1041.84
ORD_0518,Face Mask,10.0,52.96,529.6
ORD_0338,Sneakers,3.0,113.26,339.78
ORD_0133,Nail Polish,4.0,43.42,147.63
ORD_0588,Swim Goggles,1.0,20.0,20.0
ORD_0332,Laptop,1.0,20.0,30.0
ORD_0349,Serum,8.0,51.72,413.76
ORD_0614,Sports Watch,10.0,35.57,302.34
ORD_0260,Swim Goggles,8.0,,
ORD_0872,Sports Watch,2.0,,
ORD_0641,Serum,4.0,51.72,206.88
ORD_0473,Graphics Card,6.0,289.49,1736.94
ORD_0151,Swimwear,8.0,130.23,1041.84
ORD_0189,Knee Pads,10.0,37.22,372.2
ORD_0237,Resistance Band,8.0,267.11,3205.32
ORD_0263,Water Bottle,6.0,,
ORD_0144,Rug,8.0,81.5,652.0
ORD_0176,Coat,1.0,130.08,130.08
ORD_0881,Keyboard,10.0,20.0,300.0
ORD_0346,Doormat,8.0,119.9,959.2
ORD_0942,Monitor,8.0,548.49,4387.92
ORD_0624,Charger,7.0,1142.39,7996.73
ORD_1086,Coasters,,113.24,
ORD_0835,Blazer,8.0,88.9,711.2
ORD_0287,Lamp,1.0,129.35,129.35
ORD_0813,Power Bank,7.0,266.91,1868.37
ORD_0856,Hoodie,2.0,158.66,317.32
ORD_0099,Shorts,2.0,151.9,303.8
ORD_1017,Mouse,9.0,923.37,8310.33
ORD_0881,Football,7.0,122.47,857.29
ORD_0002,Fitness Tracker,1.0,228.04,114.02
ORD_0154,Lip Balm,1.0,41.42,41.42
ORD_0897,Sports Watch,1.0,35.57,35.57
ORD_0254,Running Shoes,10.0,19.47,194.7
ORD_0453,Laundry Basket,8.0,,
ORD_1061,Coasters,3.0,113.24,339.72
ORD_1184,Resistance Band,4.0,267.11,1068.44
ORD_0733,Keyboard,3.0,20.0,30.0
ORD_0119,Vase,10.0,74.99,749.9
ORD_1015,Body Lotion,3.0,18.63,55.89
ORD_0050,Dried Fruit,,20.0,
ORD_0768,Water Bottle,,,
ORD_0009,Router,7.0,173.62,1215.34
ORD_0957,Belt,3.0,53.41,160.23
ORD_0179,Mug,2.0,92.79,185.58
ORD_1123,Coat Hanger,4.0,87.64,350.56
ORD_1060,Speaker,,,
ORD_0816,Razor,,62.25,
ORD_0526,Soap Dispenser,6.0,71.41,428.46
ORD_0208,Protein Bar,10.0,6.97,69.7
ORD_0935,Towel,9.0,142.76,1284.84
ORD_0335,Jeans,1.0,20.0,20.0
ORD_1155,Belt,4.0,53.41,213.64
ORD_0280,Badminton Set,10.0,178.08,2671.2
ORD_0713,Resistance Band,,267.11,
ORD_0963,Smartphone,1.0,945.45,472.73
ORD_0419,Instant Noodles,6.0,29.39,176.34
ORD_0404,Jeans,3.0,20.0,60.0
ORD_0332,Rice,1.0,,
ORD_0152,Swim Goggles,,20.0,
ORD_0243,Router,7.0,173.62,1215.34
ORD_0054,Blazer,1.0,88.9,88.9
ORD_0001,Headphones,7.0,750.23,5251.61
ORD_1144,Serum,8.0,51.72,413.76
ORD_0628,Football,5.0,,
ORD_0424,Kitchen Timer,1.0,72.94,72.94
ORD_0587,Towel,5.0,142.76,713.8
ORD_1077,Face Cream,9.0,23.96,215.64
ORD_0104,Tea,4.0,3.37,13.48
ORD_0893,Badminton Set,1.0,178.08,178.08
ORD_0481,Soap Dispenser,6.0,71.41,428.46
ORD_1077,Gloves,3.0,14.13,42.39
ORD_0254,Face Cream,8.0,23.96,191.68
ORD_0790,Skirt,2.0,136.95,273.9
ORD_1136,Smartwatch,4.0,576.28,2305.12
ORD_0510,Fitness Tracker,9.0,228.04,2052.36
ORD_0099,Hoodie,1.0,,
ORD_0775,Coat Hanger,,87.64,
ORD_0875,Tablet,,,
ORD_0153,Candle,7.0,127.47,892.29
ORD_0283,Hoodie,3.0,158.66,475.98
ORD_0914,Badminton Set,,178.08,
ORD_0878,Coat Hanger,10.0,87.64,876.4
ORD_0338,SSD Drive,4.0,819.93,3279.72
ORD_0822,Tomato Sauce,,11.48,
ORD_0674,Power Bank,9.0,266.91,2402.19
ORD_1187,Vase,8.0,74.99,599.92
ORD_0222,Knee Pads,6.0,37.22,223.32
ORD_0874,Tomato Sauce,8.0,11.48,91.84
ORD_0957,Peanut Butter,6.0,28.1,168.6
ORD_0782,Oats,8.0,11.67,93.36
ORD_0590,Microphone,4.0,,
ORD_1180,Dress,7.0,65.57,458.99
ORD_0335,Coat,10.0,130.08,1495.92
ORD_0161,Blazer,10.0,88.9,889.0
ORD_0357,Knee Pads,7.0,37.22,260.54
ORD_0543,SSD Drive,9.0,819.93,7379.37
ORD_0801,Yoga Mat,2.0,15.35,30.7
ORD_0398,Dumbbell,1.0,180.1,180.1
ORD_0816,Lip Balm,1.0,41.42,41.42
ORD_0251,Boots,1.0,20.0,20.0
ORD_0656,Cutting Board,1.0,37.79,37.79
ORD_1159,Doormat,1.0,119.9,119.9
ORD_0268,Peanut Butter,1.0,,
ORD_0574,Coat,2.0,130.08,260.16
ORD_0147,Shorts,,151.9,
ORD_0843,Shorts,2.0,151.9,303.8
ORD_0561,Foam Roller,3.0,77.79,233.37
ORD_0401,Hat,,165.24,
ORD_0212,Hat,9.0,165.24,1487.16
ORD_0122,Coffee,10.0,9.46,94.6
ORD_1152,Plant Pot,4.0,118.04,472.16
ORD_0640,Basketball,2.0,20.0,40.0
ORD_0644,Blanket,5.0,37.47,187.35
ORD_0853,Monitor,4.0,548.49,2193.96
ORD_1057,Biscuits,4.0,29.25,117.0
ORD_0262,Keyboard,3.0,20.0,60.0
ORD_1044,Plant Pot,5.0,118.04,590.2
ORD_0688,Nail Polish,4.0,43.42,173.68
ORD_0460,Coasters,1.0,113.24,113.24
ORD_0572,Swimwear,9.0,130.23,1172.07
ORD_0607,Vase,6.0,74.99,449.94
ORD_0169,Nuts,6.0,29.61,177.66
ORD_0048,Rice,5.0,16.12,80.6
ORD_0955,Microphone,8.0,779.69,6237.52
ORD_0470,Doormat,3.0,119.9,359.7
ORD_1046,Perfume,2.0,9.51,19.02
ORD_0837,Jeans,1.0,20.0,20.0
ORD_0155,Chocolate,7.0,13.22,92.54
ORD_1045,Basketball,2.0,20.0,40.0
ORD_0765,Football,4.0,122.47,244.94
ORD_0750,Swim Goggles,,20.0,
ORD_0038,Blazer,3.0,88.9,133.35
ORD_0230,Lip Balm,2.0,41.42,82.84
ORD_0563,Lamp,2.0,129.35,258.7
ORD_0560,Football,,122.47,
ORD_0177,Tennis Racket,6.0,254.89,1529.34
ORD_0209,Skipping Rope,10.0,152.47,2287.05
ORD_1031,Boots,8.0,20.0,136.0
ORD_0473,Foundation,2.0,41.65,83.3
ORD_0438,Leggings,5.0,21.18,158.85
ORD_0027,Mouse,10.0,,
ORD_0226,Coat Hanger,6.0,87.64,525.84
ORD_0429,Keyboard,1.0,,
ORD_0733,Hat,3.0,,
ORD_0250,Laptop,3.0,20.0,60.0
ORD_0415,Football,6.0,122.47,734.82
