product_name,category,price,supplier,stock_quantity
Lamp,Home,129.35,FashionWorld,314
Mirror,home,34.64,Prime Goods,26
Plant Pot,Home & Living,118.04,Prime Goods,331
Clock,HOME,137.50,SportsDirect,499
Rug,Home,81.50,SportsDirect,456
Rug ,Home,81.50,HomeBase,456
Blanket,Wonen,37.47,TechSupply BV,50
Blanket ,home,37.47,Prime Goods,50
Towel,HOME,142.76,GlobalSupply,144
Storage Box,Wonen,27.43,Prime Goods,480
Coat Hanger,home,87.64,SportsDirect,38
Coat Hanger ,Home & Living,87.64,SportsDirect,38
Laundry Basket,Wonen,119.13,FastSupply,147
Laundry Basket ,Home & Living,119.13,FoodCo,147
Kitchen Timer,Home & Living,72.94,FashionWorld,478
Cutting Board,Wonen,37.79,Prime Goods,277
Mug,Home & Living,92.79,TechSupply BV,236
Coasters,home,113.24,SportsDirect,394
Soap Dispenser,Home & Living,71.41,TechSupply BV,416
Soap Dispenser ,Home,71.41,GlobalSupply,416
Doormat,Home,119.90,FashionWorld,61
Shampoo,Personal Care,48.94,Prime Goods,262
Conditioner,beauty,38.22,FoodCo,315
Face Cream,Personal Care,23.96,NL Wholesale,289
Sunscreen,beauty,40.27,FashionWorld,
Lip Balm,Beauty,41.42,FastSupply,242
Mascara,Personal Care,27.26,GlobalSupply,218
Foundation,Personal Care,41.65,FashionWorld,437
Perfume,Beauty,9.51,FashionWorld,74
Perfume ,Schoonheid,9.51,TechSupply BV,74
Nail Polish,BEAUTY,43.42,GlobalSupply,269
Body Lotion,Beauty,18.63,FoodCo,
Face Mask,Beauty,52.96,NL Wholesale,127
Eye Cream,beauty,11.08,FoodCo,467
Toner,BEAUTY,,NL Wholesale,46
Serum,Schoonheid,51.72,NL Wholesale,495
Serum ,beauty,51.72,Prime Goods,495
Deodorant,beauty,49.92,HomeBase,260
Razor,beauty,62.25,NL Wholesale,310
Razor ,BEAUTY,62.25,EuroTrade,310
Toothbrush,beauty,77.28,EuroTrade,471
Toothpaste,beauty,,FoodCo,264
Hair Oil,BEAUTY,,Prime Goods,29
Hair Oil ,Personal Care,,FashionWorld,29
Shower Gel,Beauty,31.86,NL Wholesale,71
